n1,n2,count
41,49,5
13,42,5
11,27,5
40,49,5
29,42,5
16,36,5
19,37,5
40,47,5
17,39,5
3,32,5
36,39,5
32,47,5
25,43,5
23,40,5
30,34,5
25,33,5
14,43,5
14,40,5
25,40,5
11,12,5
25,31,5
28,46,5
14,15,5
8,13,5
1,15,5
10,34,5
18,27,5
2,28,5
13,45,5
16,39,5
9,48,5
31,41,5
43,49,5
18,39,5
1,36,5
8,49,5
35,38,5
22,44,5
4,43,5
18,23,5
16,40,5
16,45,5
37,46,5
4,23,5
16,23,5
15,25,5
2,33,5
27,38,5
18,30,5
20,41,5
9,40,5
17,35,5
4,17,5
44,49,5
24,42,5
9,10,5
2,18,5
2,34,5
10,39,5
3,12,5
15,32,5
39,41,5
11,38,5
17,33,5
11,25,5
28,33,5
17,43,5
10,17,5
33,43,5
10,14,5
43,45,5
8,23,5
29,34,5
34,35,5
22,41,5
11,29,5
20,40,5
22,38,5
12,39,5
20,24,5
10,36,5
24,43,5
3,39,5
24,33,5
4,26,5
20,33,5
9,41,5
14,29,5
1,29,5
8,36,5
5,11,5
6,42,5
32,35,5
16,37,5
30,32,5
18,35,5
11,24,5
7,13,5
8,21,5
27,29,5
29,32,5
13,15,5
1,14,5
25,30,5
17,26,5
1,7,5
12,18,5
5,12,5
12,47,5
18,22,5
28,34,5
8,10,5
28,45,4
27,45,4
8,32,4
40,48,4
14,46,4
27,33,4
2,41,4
1,46,4
7,43,4
2,16,4
3,27,4
18,43,4
1,42,4
18,33,4
2,5,4
2,43,4
25,26,4
13,37,4
22,47,4
23,26,4
22,29,4
1,16,4
13,35,4
19,44,4
1,10,4
23,29,4
35,45,4
23,34,4
4,37,4
10,33,4
32,37,4
24,29,4
11,23,4
37,41,4
39,43,4
11,33,4
19,34,4
11,40,4
34,48,4
18,32,4
14,48,4
10,41,4
5,36,4
40,46,4
13,41,4
21,35,4
1,35,4
12,43,4
3,19,4
18,36,4
21,28,4
10,11,4
14,41,4
16,18,4
4,29,4
8,39,4
16,49,4
16,34,4
21,23,4
23,33,4
21,33,4
10,21,4
6,38,4
34,39,4
18,48,4
22,39,4
25,36,4
28,47,4
2,48,4
29,33,4
17,34,4
20,25,4
2,17,3
34,49,3
10,27,3
9,46,3
5,8,3
23,24,3
21,45,3
15,43,3
26,45,3
25,39,3
4,36,3
33,46,3
23,31,3
16,27,3
11,31,3
18,40,3
6,18,3
14,42,3
32,33,3
3,21,3
4,9,3
4,46,3
38,47,3
19,31,3
7,14,3
10,20,3
1,18,3
14,49,3
10,23,3
36,47,3
32,43,2
37,47,2
9,49,2
33,40,2
8,45,2
2,37,2
10,43,2
14,17,2
4,31,2
2,20,2
3,9,2
11,26,2
23,43,2
29,40,2
29,45,2
20,43,1
14,19,1
19,33,1
10,42,1
